"","drig","vf","wg","pfpb","pfab","milk_plantbev","ufa","ekc","fsug","fas","fam","fap","sod","pro","drig_f","milk","plantbev","totfoodsRA","RATIO_VF","HEFI2019C1_VF","RATIO_WGTOT","HEFI2019C2_WHOLEGR","RATIO_WGGR","HEFI2019C3_GRRATIO","RATIO_PRO","HEFI2019C4_PROFOODS","RATIO_PLANT","HEFI2019C5_PLANTPRO","RATIO_BEV","HEFI2019C6_BEVERAGES","RATIO_FA","HEFI2019C7_FATTYACID","SFA_PERC","HEFI2019C8_SFAT","SUG_PERC","HEFI2019C9_FREESUGARS","SODDEN","HEFI2019C10_SODIUM","HEFI2019_TOTAL_SCORE"
"1",0,9.0325,3.925,2.035,1.885,258,1,1865.31881666667,6.3674,10.17765,21.4871,20.0947,1065.76433333333,97.6010833333333,"Male and female, 51 y or older",129,129,17.8775,0.505244021815131,20,0.219549713326807,4.39099426653615,1,5,0.275206264858062,5,0.413617886178862,4.13617877906504,1,10,4.08559932793916,5,4.91062702962958,5,1.36542878206281,10,0.571357734565643,10,78.5271730456012
"2",12,9.93,5,2.42,2.29,258,1,2258.80816666667,7.095,11.70975,24.361,20.813,1174.34133333333,118.658833333333,"Male, 51-70 y",129,129,20.64,0.481104651162791,19.2441860465116,0.242248062015504,4.84496124031008,1,5,0.276647286821705,5,0.423817863397548,4.23817854921191,1,10,3.8578107986934,5,4.66563524761473,5,1.2564147951475,10,0.519894230357027,10,78.3273258360336
"3",13,8.56,3.5,2,1.85,258,1,1736.67316666667,5.515,9.73675,20.793,20.496,992.520333333333,91.6668333333333,"Female, 51-70 y",129,129,16.91,0.506209343583678,20,0.206978119455943,4.13956238911886,1,5,0.286812536960378,5,0.412371134020619,4.12371125773196,1,10,4.24053200503248,5,5.04589762092061,5,1.27024476587852,10,0.571506690138108,10,78.2632736468508
"4",14,9.93,4.2,2,1.84,258,1,1958.74736666667,6.985,10.55835,22.3356,20.703,1141.71933333333,102.148233333333,"Male, 71y+",129,129,18.97,0.523458091723774,20,0.22140221402214,4.4280442804428,1,5,0.255139694254085,5,0.413223140495868,4.13223132231405,1,10,4.07626191592436,5,4.85132241232879,5,1.42642182833141,10,0.582882383283698,10,78.5602756027569
"5",15,7.71,3,1.72,1.56,258,1,1507.04656666667,5.8746,8.70575,18.4588,18.3668,954.476333333333,77.9304333333333,"Female, 71y+",129,129,14.99,0.514342895263509,20,0.200133422281521,4.00266844563042,1,5,0.28552368245497,5,0.401869158878505,4.01869150841122,1,10,4.23003187548459,5,5.19902647555881,5,1.5592351636469,10,0.633342296412562,10,78.0213599540416
